global_step,metric,value
8,episodic_return,7.0
8,episodic_length,8.0
13,episodic_return,3.0
13,episodic_length,4.0
17,episodic_return,2.0
17,episodic_length,3.0
21,episodic_return,2.0
21,episodic_length,3.0
28,episodic_return,5.0
28,episodic_length,6.0
37,episodic_return,7.0
37,episodic_length,8.0
44,episodic_return,5.0
44,episodic_length,6.0
52,episodic_return,6.0
52,episodic_length,7.0
58,episodic_return,4.0
58,episodic_length,5.0
66,episodic_return,6.0
66,episodic_length,7.0
73,episodic_return,5.0
73,episodic_length,6.0
84,episodic_return,9.0
84,episodic_length,10.0
93,episodic_return,7.0
93,episodic_length,8.0
98,episodic_return,3.0
98,episodic_length,4.0
113,episodic_return,13.0
113,episodic_length,14.0
120,episodic_return,5.0
120,episodic_length,6.0
131,episodic_return,9.0
131,episodic_length,10.0
137,episodic_return,4.0
137,episodic_length,5.0
142,episodic_return,3.0
142,episodic_length,4.0
149,episodic_return,5.0
149,episodic_length,6.0
159,episodic_return,8.0
159,episodic_length,9.0
181,episodic_return,20.0
181,episodic_length,21.0
190,episodic_return,7.0
190,episodic_length,8.0
195,episodic_return,3.0
195,episodic_length,4.0
203,episodic_return,6.0
203,episodic_length,7.0
209,episodic_return,4.0
209,episodic_length,5.0
215,episodic_return,4.0
215,episodic_length,5.0
224,episodic_return,7.0
224,episodic_length,8.0
230,episodic_return,4.0
230,episodic_length,5.0
237,episodic_return,5.0
237,episodic_length,6.0
247,episodic_return,8.0
247,episodic_length,9.0
254,episodic_return,5.0
254,episodic_length,6.0
265,episodic_return,9.0
265,episodic_length,10.0
274,episodic_return,7.0
274,episodic_length,8.0
287,episodic_return,11.0
287,episodic_length,12.0
296,episodic_return,7.0
296,episodic_length,8.0
304,episodic_return,6.0
304,episodic_length,7.0
309,episodic_return,3.0
309,episodic_length,4.0
320,episodic_return,9.0
320,episodic_length,10.0
353,episodic_return,31.0
353,episodic_length,32.0
376,episodic_return,21.0
376,episodic_length,22.0
383,episodic_return,5.0
383,episodic_length,6.0
392,episodic_return,7.0
392,episodic_length,8.0
401,episodic_return,7.0
401,episodic_length,8.0
407,episodic_return,4.0
407,episodic_length,5.0
413,episodic_return,4.0
413,episodic_length,5.0
420,episodic_return,5.0
420,episodic_length,6.0
427,episodic_return,5.0
427,episodic_length,6.0
433,episodic_return,4.0
433,episodic_length,5.0
440,episodic_return,5.0
440,episodic_length,6.0
447,episodic_return,5.0
447,episodic_length,6.0
454,episodic_return,5.0
454,episodic_length,6.0
458,episodic_return,2.0
458,episodic_length,3.0
466,episodic_return,6.0
466,episodic_length,7.0
494,episodic_return,26.0
494,episodic_length,27.0
500,episodic_return,4.0
500,episodic_length,5.0
508,episodic_return,6.0
508,episodic_length,7.0
519,episodic_return,9.0
519,episodic_length,10.0
526,episodic_return,5.0
526,episodic_length,6.0
544,episodic_return,16.0
544,episodic_length,17.0
561,episodic_return,15.0
561,episodic_length,16.0
569,episodic_return,6.0
569,episodic_length,7.0
579,episodic_return,8.0
579,episodic_length,9.0
587,episodic_return,6.0
587,episodic_length,7.0
597,episodic_return,8.0
597,episodic_length,9.0
606,episodic_return,7.0
606,episodic_length,8.0
613,episodic_return,5.0
613,episodic_length,6.0
622,episodic_return,7.0
622,episodic_length,8.0
643,episodic_return,19.0
643,episodic_length,20.0
650,episodic_return,5.0
650,episodic_length,6.0
658,episodic_return,6.0
658,episodic_length,7.0
667,episodic_return,7.0
667,episodic_length,8.0
672,episodic_return,3.0
672,episodic_length,4.0
681,episodic_return,7.0
681,episodic_length,8.0
689,episodic_return,6.0
689,episodic_length,7.0
697,episodic_return,6.0
697,episodic_length,7.0
703,episodic_return,4.0
703,episodic_length,5.0
710,episodic_return,5.0
710,episodic_length,6.0
719,episodic_return,7.0
719,episodic_length,8.0
727,episodic_return,6.0
727,episodic_length,7.0
739,episodic_return,10.0
739,episodic_length,11.0
747,episodic_return,6.0
747,episodic_length,7.0
752,episodic_return,3.0
752,episodic_length,4.0
762,episodic_return,8.0
762,episodic_length,9.0
768,episodic_return,4.0
768,episodic_length,5.0
780,episodic_return,10.0
780,episodic_length,11.0
800,episodic_return,18.0
800,episodic_length,19.0
809,episodic_return,7.0
809,episodic_length,8.0
815,episodic_return,4.0
815,episodic_length,5.0
829,episodic_return,12.0
829,episodic_length,13.0
836,episodic_return,5.0
836,episodic_length,6.0
853,episodic_return,15.0
853,episodic_length,16.0
858,episodic_return,3.0
858,episodic_length,4.0
865,episodic_return,5.0
865,episodic_length,6.0
879,episodic_return,12.0
879,episodic_length,13.0
883,episodic_return,2.0
883,episodic_length,3.0
893,episodic_return,8.0
893,episodic_length,9.0
902,episodic_return,7.0
902,episodic_length,8.0
908,episodic_return,4.0
908,episodic_length,5.0
921,episodic_return,11.0
921,episodic_length,12.0
940,episodic_return,17.0
940,episodic_length,18.0
951,episodic_return,9.0
951,episodic_length,10.0
959,episodic_return,6.0
959,episodic_length,7.0
968,episodic_return,7.0
968,episodic_length,8.0
974,episodic_return,4.0
974,episodic_length,5.0
981,episodic_return,5.0
981,episodic_length,6.0
988,episodic_return,5.0
988,episodic_length,6.0
1000,episodic_return,10.0
1000,episodic_length,11.0
1005,episodic_return,3.0
1005,episodic_length,4.0
1011,episodic_return,4.0
1011,episodic_length,5.0
1017,episodic_return,4.0
1017,episodic_length,5.0
1025,episodic_return,6.0
1025,episodic_length,7.0
1034,episodic_return,7.0
1034,episodic_length,8.0
1046,episodic_return,10.0
1046,episodic_length,11.0
1055,episodic_return,7.0
1055,episodic_length,8.0
1064,episodic_return,7.0
1064,episodic_length,8.0
1069,episodic_return,3.0
1069,episodic_length,4.0
1077,episodic_return,6.0
1077,episodic_length,7.0
1091,episodic_return,12.0
1091,episodic_length,13.0
1104,episodic_return,11.0
1104,episodic_length,12.0
1113,episodic_return,7.0
1113,episodic_length,8.0
1125,episodic_return,10.0
1125,episodic_length,11.0
1131,episodic_return,4.0
1131,episodic_length,5.0
1137,episodic_return,4.0
1137,episodic_length,5.0
1146,episodic_return,7.0
1146,episodic_length,8.0
1157,episodic_return,9.0
1157,episodic_length,10.0
1167,episodic_return,8.0
1167,episodic_length,9.0
1174,episodic_return,5.0
1174,episodic_length,6.0
1187,episodic_return,11.0
1187,episodic_length,12.0
1195,episodic_return,6.0
1195,episodic_length,7.0
1200,episodic_return,3.0
1200,episodic_length,4.0
1205,episodic_return,3.0
1205,episodic_length,4.0
1211,episodic_return,4.0
1211,episodic_length,5.0
1218,episodic_return,5.0
1218,episodic_length,6.0
1230,episodic_return,10.0
1230,episodic_length,11.0
1239,episodic_return,7.0
1239,episodic_length,8.0
1244,episodic_return,3.0
1244,episodic_length,4.0
1258,episodic_return,12.0
1258,episodic_length,13.0
1268,episodic_return,8.0
1268,episodic_length,9.0
1275,episodic_return,5.0
1275,episodic_length,6.0
1283,episodic_return,6.0
1283,episodic_length,7.0
1290,episodic_return,5.0
1290,episodic_length,6.0
1297,episodic_return,5.0
1297,episodic_length,6.0
1304,episodic_return,5.0
1304,episodic_length,6.0
1309,episodic_return,3.0
1309,episodic_length,4.0
1316,episodic_return,5.0
1316,episodic_length,6.0
1326,episodic_return,8.0
1326,episodic_length,9.0
1332,episodic_return,4.0
1332,episodic_length,5.0
1342,episodic_return,8.0
1342,episodic_length,9.0
1347,episodic_return,3.0
1347,episodic_length,4.0
1358,episodic_return,9.0
1358,episodic_length,10.0
1374,episodic_return,14.0
1374,episodic_length,15.0
1381,episodic_return,5.0
1381,episodic_length,6.0
1389,episodic_return,6.0
1389,episodic_length,7.0
1396,episodic_return,5.0
1396,episodic_length,6.0
1401,episodic_return,3.0
1401,episodic_length,4.0
1411,episodic_return,8.0
1411,episodic_length,9.0
1416,episodic_return,3.0
1416,episodic_length,4.0
1423,episodic_return,5.0
1423,episodic_length,6.0
1437,episodic_return,12.0
1437,episodic_length,13.0
1442,episodic_return,3.0
1442,episodic_length,4.0
1452,episodic_return,8.0
1452,episodic_length,9.0
1459,episodic_return,5.0
1459,episodic_length,6.0
1465,episodic_return,4.0
1465,episodic_length,5.0
1471,episodic_return,4.0
1471,episodic_length,5.0
1482,episodic_return,9.0
1482,episodic_length,10.0
1486,episodic_return,2.0
1486,episodic_length,3.0
1492,episodic_return,4.0
1492,episodic_length,5.0
1500,episodic_return,6.0
1500,episodic_length,7.0
1507,episodic_return,5.0
1507,episodic_length,6.0
1517,episodic_return,8.0
1517,episodic_length,9.0
1522,episodic_return,3.0
1522,episodic_length,4.0
1528,episodic_return,4.0
1528,episodic_length,5.0
1540,episodic_return,10.0
1540,episodic_length,11.0
1554,episodic_return,12.0
1554,episodic_length,13.0
1560,episodic_return,4.0
1560,episodic_length,5.0
1568,episodic_return,6.0
1568,episodic_length,7.0
1575,episodic_return,5.0
1575,episodic_length,6.0
1584,episodic_return,7.0
1584,episodic_length,8.0
1597,episodic_return,11.0
1597,episodic_length,12.0
1615,episodic_return,16.0
1615,episodic_length,17.0
1621,episodic_return,4.0
1621,episodic_length,5.0
1632,episodic_return,9.0
1632,episodic_length,10.0
1644,episodic_return,10.0
1644,episodic_length,11.0
1649,episodic_return,3.0
1649,episodic_length,4.0
1662,episodic_return,11.0
1662,episodic_length,12.0
1669,episodic_return,5.0
1669,episodic_length,6.0
1683,episodic_return,12.0
1683,episodic_length,13.0
1689,episodic_return,4.0
1689,episodic_length,5.0
1696,episodic_return,5.0
1696,episodic_length,6.0
1703,episodic_return,5.0
1703,episodic_length,6.0
1713,episodic_return,8.0
1713,episodic_length,9.0
1719,episodic_return,4.0
1719,episodic_length,5.0
1731,episodic_return,10.0
1731,episodic_length,11.0
1736,episodic_return,3.0
1736,episodic_length,4.0
1746,episodic_return,8.0
1746,episodic_length,9.0
1758,episodic_return,10.0
1758,episodic_length,11.0
1772,episodic_return,12.0
1772,episodic_length,13.0
1780,episodic_return,6.0
1780,episodic_length,7.0
1789,episodic_return,7.0
1789,episodic_length,8.0
1795,episodic_return,4.0
1795,episodic_length,5.0
1823,episodic_return,26.0
1823,episodic_length,27.0
1834,episodic_return,9.0
1834,episodic_length,10.0
1842,episodic_return,6.0
1842,episodic_length,7.0
1848,episodic_return,4.0
1848,episodic_length,5.0
1860,episodic_return,10.0
1860,episodic_length,11.0
1872,episodic_return,10.0
1872,episodic_length,11.0
1879,episodic_return,5.0
1879,episodic_length,6.0
1884,episodic_return,3.0
1884,episodic_length,4.0
1892,episodic_return,6.0
1892,episodic_length,7.0
1897,episodic_return,3.0
1897,episodic_length,4.0
1920,episodic_return,21.0
1920,episodic_length,22.0
1934,episodic_return,12.0
1934,episodic_length,13.0
1939,episodic_return,3.0
1939,episodic_length,4.0
1945,episodic_return,4.0
1945,episodic_length,5.0
1955,episodic_return,8.0
1955,episodic_length,9.0
1962,episodic_return,5.0
1962,episodic_length,6.0
1969,episodic_return,5.0
1969,episodic_length,6.0
1978,episodic_return,7.0
1978,episodic_length,8.0
1990,episodic_return,10.0
1990,episodic_length,11.0
1999,episodic_return,7.0
1999,episodic_length,8.0
2010,episodic_return,9.0
2010,episodic_length,10.0
2031,episodic_return,19.0
2031,episodic_length,20.0
2042,episodic_return,9.0
2042,episodic_length,10.0
2048,episodic_return,4.0
2048,episodic_length,5.0
2048,value_loss,0.7324545383453369
2048,policy_loss,-0.022471196949481964
2048,approx_kl,0.023072294890880585
2048,clipfrac,0.181787109375
2048,explained_variance,-0.05524289608001709
2048,sps,506.0
2054,episodic_return,4.0
2054,episodic_length,5.0
2071,episodic_return,15.0
2071,episodic_length,16.0
2083,episodic_return,10.0
2083,episodic_length,11.0
2097,episodic_return,12.0
2097,episodic_length,13.0
2117,episodic_return,18.0
2117,episodic_length,19.0
2138,episodic_return,19.0
2138,episodic_length,20.0
2143,episodic_return,3.0
2143,episodic_length,4.0
2148,episodic_return,3.0
2148,episodic_length,4.0
2153,episodic_return,3.0
2153,episodic_length,4.0
2158,episodic_return,3.0
2158,episodic_length,4.0
2167,episodic_return,7.0
2167,episodic_length,8.0
2175,episodic_return,6.0
2175,episodic_length,7.0
2191,episodic_return,14.0
2191,episodic_length,15.0
2218,episodic_return,25.0
2218,episodic_length,26.0
2229,episodic_return,9.0
2229,episodic_length,10.0
2238,episodic_return,7.0
2238,episodic_length,8.0
2247,episodic_return,7.0
2247,episodic_length,8.0
2266,episodic_return,17.0
2266,episodic_length,18.0
2275,episodic_return,7.0
2275,episodic_length,8.0
2282,episodic_return,5.0
2282,episodic_length,6.0
2300,episodic_return,16.0
2300,episodic_length,17.0
2332,episodic_return,30.0
2332,episodic_length,31.0
2347,episodic_return,13.0
2347,episodic_length,14.0
2356,episodic_return,7.0
2356,episodic_length,8.0
2377,episodic_return,19.0
2377,episodic_length,20.0
2393,episodic_return,14.0
2393,episodic_length,15.0
2401,episodic_return,6.0
2401,episodic_length,7.0
2409,episodic_return,6.0
2409,episodic_length,7.0
2439,episodic_return,28.0
2439,episodic_length,29.0
2450,episodic_return,9.0
2450,episodic_length,10.0
2462,episodic_return,10.0
2462,episodic_length,11.0
2484,episodic_return,20.0
2484,episodic_length,21.0
2493,episodic_return,7.0
2493,episodic_length,8.0
2499,episodic_return,4.0
2499,episodic_length,5.0
2513,episodic_return,12.0
2513,episodic_length,13.0
2522,episodic_return,7.0
2522,episodic_length,8.0
2529,episodic_return,5.0
2529,episodic_length,6.0
2536,episodic_return,5.0
2536,episodic_length,6.0
2544,episodic_return,6.0
2544,episodic_length,7.0
2564,episodic_return,18.0
2564,episodic_length,19.0
2575,episodic_return,9.0
2575,episodic_length,10.0
2594,episodic_return,17.0
2594,episodic_length,18.0
2599,episodic_return,3.0
2599,episodic_length,4.0
2607,episodic_return,6.0
2607,episodic_length,7.0
2616,episodic_return,7.0
2616,episodic_length,8.0
2639,episodic_return,21.0
2639,episodic_length,22.0
2646,episodic_return,5.0
2646,episodic_length,6.0
2666,episodic_return,18.0
2666,episodic_length,19.0
2679,episodic_return,11.0
2679,episodic_length,12.0
2687,episodic_return,6.0
2687,episodic_length,7.0
2700,episodic_return,11.0
2700,episodic_length,12.0
2710,episodic_return,8.0
2710,episodic_length,9.0
2717,episodic_return,5.0
2717,episodic_length,6.0
2726,episodic_return,7.0
2726,episodic_length,8.0
2733,episodic_return,5.0
2733,episodic_length,6.0
2739,episodic_return,4.0
2739,episodic_length,5.0
2749,episodic_return,8.0
2749,episodic_length,9.0
2758,episodic_return,7.0
2758,episodic_length,8.0
2769,episodic_return,9.0
2769,episodic_length,10.0
