global_step,metric,value
19,episodic_return,-2.7742799567005094
19,episodic_length,19.0
48,episodic_return,-2.98511230321499
48,episodic_length,28.0
67,episodic_return,-7.769466960623378
67,episodic_length,18.0
80,episodic_return,-4.060183524136485
80,episodic_length,12.0
97,episodic_return,-9.190914364931107
97,episodic_length,16.0
110,episodic_return,-4.461781155848626
110,episodic_length,12.0
124,episodic_return,2.025768661660166
124,episodic_length,13.0
133,episodic_return,-3.714392380119355
133,episodic_length,8.0
144,episodic_return,-1.95253557909975
144,episodic_length,10.0
168,episodic_return,2.2464486719933716
168,episodic_length,23.0
184,episodic_return,0.3286800718504266
184,episodic_length,15.0
197,episodic_return,-3.553306169474511
197,episodic_length,12.0
219,episodic_return,-3.772641319821466
219,episodic_length,21.0
238,episodic_return,-0.4011254728045034
238,episodic_length,18.0
253,episodic_return,3.0368851379278023
253,episodic_length,14.0
271,episodic_return,-0.7181354912248626
271,episodic_length,17.0
294,episodic_return,-2.830519744353893
294,episodic_length,22.0
317,episodic_return,-4.477158808476875
317,episodic_length,22.0
346,episodic_return,2.3561579522141103
346,episodic_length,28.0
375,episodic_return,0.4522388934556263
375,episodic_length,28.0
389,episodic_return,-3.0169813132895964
389,episodic_length,13.0
405,episodic_return,0.8000857656800082
405,episodic_length,15.0
419,episodic_return,-6.334470993458278
419,episodic_length,13.0
435,episodic_return,-1.2139632891878833
435,episodic_length,15.0
457,episodic_return,-2.7327462045365185
457,episodic_length,21.0
486,episodic_return,6.300175785046065
486,episodic_length,28.0
515,episodic_return,3.887884143031478
515,episodic_length,28.0
524,episodic_return,-3.568467600215916
524,episodic_length,8.0
540,episodic_return,1.1871291456028346
540,episodic_length,15.0
556,episodic_return,-5.4285145275505045
556,episodic_length,15.0
567,episodic_return,-3.9759350697173486
567,episodic_length,10.0
583,episodic_return,0.8754535915790631
583,episodic_length,15.0
602,episodic_return,5.220857638084971
602,episodic_length,18.0
625,episodic_return,-1.443315901759913
625,episodic_length,22.0
646,episodic_return,-5.665822459419789
646,episodic_length,20.0
668,episodic_return,-13.749135581549101
668,episodic_length,21.0
680,episodic_return,-6.269896036800894
680,episodic_length,11.0
710,episodic_return,4.375284484067544
710,episodic_length,29.0
735,episodic_return,5.071963191941374
735,episodic_length,24.0
753,episodic_return,5.524124014871368
753,episodic_length,17.0
762,episodic_return,-3.160045921605122
762,episodic_length,8.0
786,episodic_return,6.272998458794384
786,episodic_length,23.0
812,episodic_return,-6.665571225346812
812,episodic_length,25.0
827,episodic_return,-1.3653527721297314
827,episodic_length,14.0
836,episodic_return,-3.7229282886493933
836,episodic_length,8.0
855,episodic_return,-5.114866718046843
855,episodic_length,18.0
869,episodic_return,-3.0648363137021386
869,episodic_length,13.0
892,episodic_return,-2.8283492688450322
892,episodic_length,22.0
905,episodic_return,-0.289547575909798
905,episodic_length,12.0
925,episodic_return,1.1944260886875284
925,episodic_length,19.0
946,episodic_return,4.75225048252868
946,episodic_length,20.0
979,episodic_return,10.126034856209271
979,episodic_length,32.0
991,episodic_return,0.8136264219291625
991,episodic_length,11.0
1016,episodic_return,2.7040005800233295
1016,episodic_length,24.0
1027,episodic_return,-2.6576634604162583
1027,episodic_length,10.0
1035,episodic_return,-5.168479732956215
1035,episodic_length,7.0
1058,episodic_return,-4.510817676243976
1058,episodic_length,22.0
1083,episodic_return,0.9512953580177135
1083,episodic_length,24.0
1103,episodic_return,-3.8780332717591963
1103,episodic_length,19.0
1127,episodic_return,0.6422462098258038
1127,episodic_length,23.0
1142,episodic_return,-4.0409915151551665
1142,episodic_length,14.0
1152,episodic_return,-2.0141648243074273
1152,episodic_length,9.0
1168,episodic_return,-4.871997016808644
1168,episodic_length,15.0
1190,episodic_return,-1.7727720098199362
1190,episodic_length,21.0
1210,episodic_return,-9.03113619622352
1210,episodic_length,19.0
1240,episodic_return,-0.06591901954878221
1240,episodic_length,29.0
1260,episodic_return,-5.794562937052813
1260,episodic_length,19.0
1277,episodic_return,-9.052772579045607
1277,episodic_length,16.0
1295,episodic_return,-1.820863202707761
1295,episodic_length,17.0
1309,episodic_return,1.205439738458936
1309,episodic_length,13.0
1322,episodic_return,-0.8104215233247464
1322,episodic_length,12.0
1335,episodic_return,-1.8578194049282768
1335,episodic_length,12.0
1357,episodic_return,2.5876156527017167
1357,episodic_length,21.0
1396,episodic_return,9.736725251158107
1396,episodic_length,38.0
1406,episodic_return,-4.156830262078814
1406,episodic_length,9.0
1421,episodic_return,-7.676888582062242
1421,episodic_length,14.0
1437,episodic_return,-7.619398436200285
1437,episodic_length,15.0
1454,episodic_return,-0.19413015862059618
1454,episodic_length,16.0
1509,episodic_return,25.783906932584298
1509,episodic_length,54.0
1523,episodic_return,-1.7079764862307356
1523,episodic_length,13.0
1540,episodic_return,2.3614916725898034
1540,episodic_length,16.0
1555,episodic_return,-4.306536392253167
1555,episodic_length,14.0
1578,episodic_return,9.0699192801384
1578,episodic_length,22.0
1604,episodic_return,-1.7311362614950476
1604,episodic_length,25.0
1620,episodic_return,-13.768072613826185
1620,episodic_length,15.0
1632,episodic_return,-3.108981697708942
1632,episodic_length,11.0
1650,episodic_return,-4.676619184637306
1650,episodic_length,17.0
1662,episodic_return,-0.10436694816457548
1662,episodic_length,11.0
1677,episodic_return,-6.3607357920814165
1677,episodic_length,14.0
1692,episodic_return,1.8378395273751211
1692,episodic_length,14.0
1713,episodic_return,-0.20047782328073915
1713,episodic_length,20.0
1727,episodic_return,-8.032325156101235
1727,episodic_length,13.0
1754,episodic_return,-8.667285882014552
1754,episodic_length,26.0
1765,episodic_return,-3.4520279535811156
1765,episodic_length,10.0
1792,episodic_return,6.889593112595637
1792,episodic_length,26.0
1803,episodic_return,-6.695850128344997
1803,episodic_length,10.0
1834,episodic_return,-5.47380859502219
1834,episodic_length,30.0
1865,episodic_return,0.8791679251772453
1865,episodic_length,30.0
1894,episodic_return,1.7612775317688105
1894,episodic_length,28.0
1929,episodic_return,12.973784310559234
1929,episodic_length,34.0
1940,episodic_return,-1.488572396666901
1940,episodic_length,10.0
1965,episodic_return,8.385432852310359
1965,episodic_length,24.0
1976,episodic_return,-2.7692318486170766
1976,episodic_length,10.0
1993,episodic_return,-1.1779192791221609
1993,episodic_length,16.0
2022,episodic_return,1.5774022212738288
2022,episodic_length,28.0
2035,episodic_return,-3.508540792290212
2035,episodic_length,12.0
2048,value_loss,0.704364001750946
2048,policy_loss,0.0053909532725811005
2048,approx_kl,0.022999078035354614
2048,clipfrac,0.239990234375
2048,explained_variance,-0.16827476024627686
2048,sps,481.0
2048,kl_beta,2.0
2057,episodic_return,2.2861920713989345
2057,episodic_length,21.0
2073,episodic_return,0.039561067529635396
2073,episodic_length,15.0
2098,episodic_return,-4.275214469368819
2098,episodic_length,24.0
2127,episodic_return,0.008913751565179151
2127,episodic_length,28.0
2140,episodic_return,-7.484591119138615
2140,episodic_length,12.0
2154,episodic_return,1.970438727552866
2154,episodic_length,13.0
2182,episodic_return,-0.13194907506346265
2182,episodic_length,27.0
2214,episodic_return,15.044559119110666
2214,episodic_length,31.0
2234,episodic_return,3.190437951090744
2234,episodic_length,19.0
2248,episodic_return,-1.1835933932676153
2248,episodic_length,13.0
2274,episodic_return,4.3600327112579915
2274,episodic_length,25.0
2284,episodic_return,-1.9743438306794894
2284,episodic_length,9.0
2300,episodic_return,2.3328712739277586
2300,episodic_length,15.0
2336,episodic_return,0.9843457190335951
2336,episodic_length,35.0
2381,episodic_return,11.513082633907196
2381,episodic_length,44.0
2404,episodic_return,3.013545451686216
2404,episodic_length,22.0
2428,episodic_return,-2.5500360127374595
2428,episodic_length,23.0
2446,episodic_return,3.816368354268618
2446,episodic_length,17.0
2471,episodic_return,-7.282669832821603
2471,episodic_length,24.0
2492,episodic_return,2.5457522492195412
2492,episodic_length,20.0
2510,episodic_return,2.6145996732045864
2510,episodic_length,17.0
2521,episodic_return,-6.105637370621313
2521,episodic_length,10.0
2530,episodic_return,-3.0682917289555434
2530,episodic_length,8.0
2552,episodic_return,-2.6989791277073216
2552,episodic_length,21.0
2580,episodic_return,5.123163906420226
2580,episodic_length,27.0
2601,episodic_return,-2.9834375101365076
2601,episodic_length,20.0
2648,episodic_return,10.845877029948939
2648,episodic_length,46.0
2673,episodic_return,-1.2920848046547553
2673,episodic_length,24.0
2689,episodic_return,0.001603852091950575
2689,episodic_length,15.0
2700,episodic_return,-3.2882805066589693
2700,episodic_length,10.0
2722,episodic_return,-4.052008254921566
2722,episodic_length,21.0
2742,episodic_return,-5.714714091166971
2742,episodic_length,19.0
2751,episodic_return,-4.773964903066695
2751,episodic_length,8.0
2771,episodic_return,-2.0684918174821245
2771,episodic_length,19.0
2828,episodic_return,13.701282343057494
2828,episodic_length,56.0
2856,episodic_return,5.864232355393202
2856,episodic_length,27.0
2885,episodic_return,3.7464574850704095
2885,episodic_length,28.0
2903,episodic_return,-4.527192868861189
2903,episodic_length,17.0
2939,episodic_return,11.146328881688744
2939,episodic_length,35.0
2956,episodic_return,1.1753388214548501
2956,episodic_length,16.0
2984,episodic_return,-1.1906369080331505
2984,episodic_length,27.0
3012,episodic_return,5.189154615384847
3012,episodic_length,27.0
3030,episodic_return,2.942319620507065
3030,episodic_length,17.0
3042,episodic_return,1.1021318356616305
3042,episodic_length,11.0
3066,episodic_return,8.90185380088785
3066,episodic_length,23.0
3087,episodic_return,-8.263913439708972
3087,episodic_length,20.0
3107,episodic_return,7.1069607736976
3107,episodic_length,19.0
3168,episodic_return,21.424143643000477
3168,episodic_length,60.0
3199,episodic_return,5.896030713498341
3199,episodic_length,30.0
3217,episodic_return,-3.2907144420583663
3217,episodic_length,17.0
3250,episodic_return,14.102059752660502
3250,episodic_length,32.0
3279,episodic_return,6.053421826930805
3279,episodic_length,28.0
3318,episodic_return,6.004591682575367
3318,episodic_length,38.0
3345,episodic_return,13.863917163361693
3345,episodic_length,26.0
3363,episodic_return,-8.633279100087433
3363,episodic_length,17.0
3383,episodic_return,1.6312920878343335
